LGA_Name,State,Latitude,Longitude,mean_nightlight_intensity,MPI,Headcount_Ratio,Intensity_of_Deprivation,In_Severe_Poverty,population_density,health_facility_count,school_count,road_density_km,ndvi_mean,rainfall_mm,idp_count,food_price_index,composite_poverty_score,cluster,cluster_label,risk_level
Nsit Atai,Akwa Ibom,4.85,8.01666667,0.030477359843177673,0.0446,9.8074,45.428,3.6118,725.2186325441293,14.0,133.0,1.7806,0.3661633747102534,1069.006607153401,0.0,0.0,0.044785574,1,High Risk - Severe Poverty,High
Nsit Ibom,Akwa Ibom,4.88333333,7.9,0.0208413805717077,0.0446,9.8074,45.428,3.6118,725.2186325441292,25.0,133.0,1.7806,0.36942258272394,998.8099870341044,0.0,0.0,0.044536993,1,High Risk - Severe Poverty,High
Nsit Ubium,Akwa Ibom,4.76666667,7.93333333,0.0034749746453343775,0.0446,9.8074,45.428,3.6118,725.2186325441292,31.0,133.0,1.7806,0.385638751950616,975.1293411347696,0.0,0.0,0.04389045,1,High Risk - Severe Poverty,High
Obot Akara,Akwa Ibom,5.26667,7.6,0.0,0.0446,9.8074,45.428,3.6118,725.218632544129,35.0,133.0,1.7806,0.3783423981084253,1077.8182680944471,0.0,0.0,0.043890536,1,High Risk - Severe Poverty,High
Okobo,Akwa Ibom,4.83333333,8.13333333,0.0021188685896402215,0.0446,9.8074,45.428,3.6118,725.218632544129,22.0,133.0,1.7806,0.31767129787463594,1007.6098902529494,0.0,0.0,0.044835724,1,High Risk - Severe Poverty,High
Onna,Akwa Ibom,4.65,7.86666667,0.08633489138201664,0.0446,9.8074,45.428,3.6118,725.2186325441292,33.0,133.0,1.7806,0.38164493558130086,1066.563237671857,0.0,0.0,0.044036143,1,High Risk - Severe Poverty,High
Oron,Akwa Ibom,4.82583333,8.23388889,0.01871727044797606,0.0446,9.8074,45.428,3.6118,725.2186325441292,30.0,133.0,1.7806,0.4329471031407565,1054.264244358747,0.0,0.0,0.044467952,1,High Risk - Severe Poverty,High
Oruk Anam,Akwa Ibom,4.81666667,7.65,0.000770197079624284,0.0446,9.8074,45.428,3.6118,725.2186325441292,32.0,133.0,1.7806,0.38164493558130086,1066.563237671857,0.0,0.0,0.043581776,1,High Risk - Severe Poverty,High
Udung Uko,Akwa Ibom,4.76666667,8.23333333,0.05431703517834346,0.0446,9.8074,45.428,3.6118,725.2186325441293,13.0,133.0,1.7806,0.33846411394034315,886.6024935322331,0.0,0.0,0.044116948,1,High Risk - Severe Poverty,High
Ukanafun,Akwa Ibom,4.9,7.6,0.0,0.0446,9.8074,45.428,3.6118,725.2186325441292,35.0,133.0,1.7806,0.3783423981084253,1077.8182680944471,0.0,0.0,0.043890536,1,High Risk - Severe Poverty,High
Uruan,Akwa Ibom,5.03333333,8.05,0.03465446034136645,0.0446,9.8074,45.428,3.6118,725.2186325441292,24.0,133.0,1.7806,0.32598089077728604,872.8233376799557,0.0,0.0,0.044311915,1,High Risk - Severe Poverty,High
Urue Offong/Oruko,Akwa Ibom,4.71667,8.15,0.00452895529188301,0.0446,9.8074,45.428,3.6118,725.218632544129,0.0,133.0,1.7806,0.34882485380356554,1018.6908162809987,0.0,0.0,0.03225721,1,High Risk - Severe Poverty,High
Uyo,Akwa Ibom,5.03333333,7.91666667,1.2573529975011635,0.0446,9.8074,45.428,3.6118,725.2186325441292,83.0,133.0,1.7806,0.34808327143975,1004.5871296341139,0.0,0.0,0.043939915,1,High Risk - Severe Poverty,High
Aguata,Anambra,6.01666667,7.08333333,0.07528396540397732,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,143.0,200.0,2.0734,0.42814684372176337,2459.181783522494,0.0,0.0,0.00853119,1,High Risk - Severe Poverty,High
Anambra East,Anambra,6.333333,6.866667,0.04795887174001381,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,47.0,200.0,2.0734,0.3770570724130814,1451.6527442581169,0.0,0.0,0.009060572,1,High Risk - Severe Poverty,High
Anambra West,Anambra,6.416667,6.683333,0.012352328862726074,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,33.0,200.0,2.0734,0.44134955382780844,1979.8738956548339,0.0,0.0,0.009474212,1,High Risk - Severe Poverty,High
Anaocha,Anambra,6.15,7.05,0.23463815480030228,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,76.0,200.0,2.0734,0.3311755821705795,958.3321503283616,0.0,0.0,0.010120778,1,High Risk - Severe Poverty,High
Awka North,Anambra,6.233333,7.133333,0.08591824789116559,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,57.0,200.0,2.0734,0.44134955382780844,1979.8738956548339,0.0,0.0,0.008718206,1,High Risk - Severe Poverty,High
Awka South,Anambra,6.16666667,7.06666667,1.0584953641729657,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,131.0,200.0,2.0734,0.2911650221341904,937.5668963606131,0.0,0.0,0.009644799,1,High Risk - Severe Poverty,High
Ayamelum,Anambra,6.6,6.966667,0.0,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,41.0,200.0,2.0734,0.44134955382780844,1979.8738956548339,0.0,0.0,0.00976603,1,High Risk - Severe Poverty,High
Dunukofia,Anambra,6.271944,6.976667,0.2051913371489894,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,66.0,200.0,2.0734,0.4807153009403363,2418.356069680558,0.0,0.0,0.008507512,1,High Risk - Severe Poverty,High
Ekwusigo,Anambra,6.054662,6.82859,0.22318495187343035,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,78.0,200.0,2.0734,0.4413495538278084,1979.8738956548336,0.0,0.0,0.008718206,1,High Risk - Severe Poverty,High
Idemili North,Anambra,6.097069,6.984745,0.6568312043430016,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,174.0,200.0,2.0734,0.4488499777590836,3256.7000008137024,0.0,0.0,0.008750646,1,High Risk - Severe Poverty,High
Idemili South,Anambra,6.100683,6.898364,0.49673816975620055,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,82.0,200.0,2.0734,0.46358498903375917,2171.49916408568,0.0,0.0,0.00844172,1,High Risk - Severe Poverty,High
Ihiala,Anambra,5.85388889,6.86,0.015279769260205292,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,131.0,200.0,2.0734,0.43955845369342283,2816.09452330064,0.0,0.0,0.008970593,1,High Risk - Severe Poverty,High
Njikoka,Anambra,6.183846,6.99191,0.6535202689024945,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,56.0,200.0,2.0734,0.4413495538278084,1979.8738956548336,0.0,0.0,0.008656615,1,High Risk - Severe Poverty,High
Nnewi North,Anambra,5.938767,5.938767,0.7745682786539646,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,155.0,200.0,2.0734,0.4729265165792847,2875.768410725162,0.0,0.0,0.008441499,1,High Risk - Severe Poverty,High
Nnewi South,Anambra,5.938383,6.921821,0.042481159702652975,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,81.0,200.0,2.0734,0.46358498903375917,2171.49916408568,0.0,0.0,0.008479384,1,High Risk - Severe Poverty,High
Ogbaru,Anambra,5.960656,6.731678,2.549398899562105,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,110.0,200.0,2.0734,0.48823424844283553,2409.779086412351,0.0,0.0,0.008580966,1,High Risk - Severe Poverty,High
Onitsha North,Anambra,6.189277,6.805853,1.4305176091139595,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,114.0,200.0,2.0734,0.4181165597333033,1944.2468394547154,0.0,0.0,0.008767888,1,High Risk - Severe Poverty,High
Onitsha South,Anambra,6.135818,6.788542,1.9784790873527527,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,71.0,200.0,2.0734,0.47735032138955646,2471.5669731355197,0.0,0.0,0.008531144,1,High Risk - Severe Poverty,High
Orumba North,Anambra,6.042599,7.213103,0.03888879569458081,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,65.0,200.0,2.0734,0.4413495538278084,1979.8738956548336,0.0,0.0,0.008718206,1,High Risk - Severe Poverty,High
Orumba South,Anambra,5.990942,5.990942,0.007180299919853031,0.0089,2.0449,43.3105,0.5472,1235.4936252435054,76.0,200.0,2.0734,0.5404494922254882,2599.4615408716118,0.0,0.0,0.009263775,1,High Risk - Severe Poverty,High
